0,17
12,16
16,17
20,16
24,17
32,16
36,5
48,17
112,16
124,5
128,6
132,17
136,16
208,1
216,5
308,16
316,15
576,14
672,15
676,14
1544,15
1580,4
1639,5
2340,16
2372,17
2480,18
2716,17
2768,6
2800,5
2972,16
3000,15
3092,14
3360,15
3468,14
3515,15
3520,14
3524,15
3532,14
3540,15
3579,14
4152,13
4200,4
4288,3
4352,12
4356,11
4432,10
5936,25
6012,2
6020,9
6060,8
6176,21
6528,22
7048,21
7072,8
7504,7
7531,1
7548,5
8412,16
8420,15
8500,14
9868,15
9872,14
9888,15
9924,14
10344,15
10348,14
10416,15
10420,14
10468,15
10476,14
10480,15
10484,14
10488,15
10500,14
10504,15
10516,14
10524,15
10528,14
10544,15
10548,14
10936,15
10948,14
10952,15
10980,14
10984,15
11000,14
11008,15
11012,14
11044,15
11048,14
11056,15
11064,14
11096,15
11100,14
11152,15
11156,14
11164,15
11168,14
12524,13
12863,14
13140,15
13284,16
13768,15
14076,14
15363,15
15388,14
15436,15
15463,14
16224,15
16247,4
16291,5
16916,16
16952,17
17024,18
17704,17
17768,6
17780,5
17816,16
17860,5
18320,1
18336,7
18372,8
18832,21
19460,22
20056,21
20060,8
20232,9
20276,25
20328,10
21984,11
22008,2
22060,3
22092,4
22096,5
22180,16
22660,5
22796,16
23884,5
23972,16
23976,15
24036,14
24904,15
25916,14
26524,13
26527,14
26532,13
26539,14
26548,13
26560,14
26564,13
26616,14
26620,13
26632,14
26744,13
26760,14
26764,13
26776,14
26783,13
26788,14
26795,13
26808,14
26816,13
26824,14
26827,13
26839,14
26848,13
26860,14
26868,13
26876,14
26883,13
26892,14
26895,13
26908,14
26916,13
26924,14
26927,13
26952,14
26960,13
27016,14
27208,13
27348,14
28072,13
28080,14
28144,15
28200,4
28208,5
28295,16
28336,17
28395,18
29220,17
29495,16
29539,15
29592,14
29924,15
29988,4
30004,5
30576,6
30595,7
30639,8
30680,21
31364,20
31512,19
31564,18
32116,17
32232,16
32300,15
32360,14
35036,15
35100,14
35200,15
35716,14
36480,15
36532,4
36552,5
37016,16
37876,15
37940,14
38012,15
38560,14
38564,15
38568,14
38576,15
38580,14
38584,15
38588,14
38592,15
38604,14
40116,15
40284,4
40288,5
40624,16
40656,17
41060,18
41632,19
42196,20
42276,21
42284,8
42480,21
42492,22
43840,23
43852,8
44012,1
44044,5
44404,4
44432,15
44472,14
45620,15
45700,4
45720,5
45992,4
46032,15
46080,14
47516,13
47656,12
47756,11
47816,10
51504,2
51572,3
51576,1
51616,5
52084,16
52491,15
52544,14
54752,15
54755,14
54779,15
55732,4
55736,5
55855,16
55891,17
56644,18
57120,17
57167,16
57188,5
57308,16
57316,15
57404,14
57424,15
57796,14
74468,15
74544,4
74556,5
75352,16
75588,5
76672,17
76988,18
81500,17
81560,16
81572,5
81660,16
81672,15
82804,14
89192,15
89232,4
89260,5
89604,16
90272,5
90424,6
90444,7
90504,8
90556,21
90656,22
90668,21
91140,20
91200,19
91248,18
92400,19
92440,6
92504,5
92908,16
93492,15
93544,14
93612,15
93640,14
93728,15
93732,14
93908,15
93912,14
93948,15
94184,14
94344,15
94388,14
97116,15
97488,4
97496,5
97944,4
97976,15
98592,14
99872,15
99944,4
100044,13
100048,4
100052,13
100096,12
100192,11
100264,10
101180,11
101216,10
101220,11
101348,10
101352,11
101356,10
105635,25
105644,2
106516,1
106648,5
106876,16
106883,15
108056,14
114224,13
114228,14
114232,13
114632,14
114744,13
114752,14
115352,15
115376,14
115380,15
115388,14
115400,15
115404,14
115428,15
115432,14
116492,15
116680,14
116859,15
116948,14
117072,15
117932,14
117935,15
117948,14
117959,15
117964,14
117972,15
119132,14
120335,15
120968,14
121664,15
122056,14
122080,15
122480,4
122500,5
122664,16
123024,15
124776,14
