trial id	time	event
141	0	8
141	28	9
141	56	8
141	260	23
141	344	24
141	412	25
141	472	10
141	1000	25
141	1148	2
141	1164	9
141	1248	8
141	1444	7
141	1452	1
141	1528	5
141	2160	4
141	2236	15
141	3152	14
141	4064	13
141	4216	4
141	4400	5
141	4684	4
141	4720	5
141	5024	6
141	5096	19
141	5376	18
141	5964	17
141	6048	6
141	6060	5
141	6704	6
141	6720	7
141	6816	8
141	7084	21
141	7112	22
141	7484	23
141	7759	24
141	7852	25
141	7923	10
141	8340	11
141	8424	12
141	8604	13
141	8888	14
141	11128	15
141	11324	16
141	11472	17
141	11584	18
141	12036	19
141	12064	6
141	12148	5
141	12228	16
141	12704	15
141	13119	14
141	13396	13
141	13484	12
141	13556	11
141	13656	10
141	14747	11
141	14808	2
141	14847	3
141	14916	1
141	14932	5
141	16188	16
141	16568	15
141	16956	14
141	17844	13
141	18100	12
141	18244	11
141	18316	10
141	18504	25
141	18572	24
141	18628	23
141	18648	8
141	18712	23
141	18744	22
141	19372	21
141	19748	22
141	20992	23
141	21048	22
141	21092	23
141	21396	8
141	21640	21
141	21644	20
141	21968	19
141	22028	18
141	23960	17
141	24012	6
141	24028	5
141	24100	16
141	24360	17
141	24496	16
141	24520	5
141	25432	4
141	25496	15
141	25500	14
141	26168	13
141	27208	12
141	27448	13
141	28139	14
141	28708	13
141	28724	14
141	28827	13
141	29016	14
141	31080	15
141	31148	4
141	31160	5
141	31508	1
141	31564	7
141	31568	8
141	31724	23
141	32427	24
141	32483	25
141	32544	10
141	34280	25
141	34396	10
141	34472	11
141	34996	12
141	35096	13
141	35176	14
141	35216	13
141	35292	14
141	35492	15
141	35580	16
141	36324	17
141	36388	18
141	36800	19
141	36892	20
141	37068	21
141	37080	8
141	37172	21
141	37244	22
141	38512	21
141	38604	8
141	38968	7
141	38992	1
141	39036	5
141	39100	4
141	39124	15
141	39532	16
141	39608	15
141	39900	16
141	41484	5
141	41784	4
141	41812	3
141	41880	2
141	42048	9
141	42200	8
141	42352	23
141	43024	8
141	43104	9
141	43156	24
141	43280	25
141	43356	10
141	43988	11
141	44596	12
141	44660	13
141	44720	14
141	46296	15
141	46352	4
141	46376	5
141	46568	17
141	46628	18
141	49088	19
141	49588	20
141	49768	21
141	50240	8
141	50276	21
141	50340	8
141	50428	7
141	50476	1
141	50496	5
141	51391	4
141	51472	13
141	51484	14
141	55100	13
141	55124	14
141	55148	13
141	55188	4
141	55248	5
141	55664	1
141	55712	3
141	55720	2
141	55788	10
141	58864	25
141	58879	2
141	58924	9
141	59032	8
141	60224	23
141	61096	22
141	63600	21
141	63612	8
141	63688	7
141	63748	1
141	63755	5
141	63860	16
141	65720	15
141	66044	14
141	67548	15
141	67572	4
141	67628	5
141	69092	16
141	69900	5
141	70236	6
141	70272	5
141	70292	6
141	70300	7
141	70832	8
141	71136	21
141	71928	8
141	71960	7
141	72056	6
141	72096	19
141	72132	18
141	88028	17
141	88048	6
141	88156	5
141	90364	4
141	90448	13
141	90540	14
141	97224	13
141	97268	4
141	97316	3
141	97408	1
141	97524	9
141	97564	8
141	99628	7
141	99652	1
141	99692	5
141	101324	16
141	158560	5
141	159240	6
141	159368	17
141	159852	18
