trial id	time	event
142	0	6
142	8	5
142	1104	16
142	1120	5
142	1380	4
142	1464	15
142	1848	4
142	1952	5
142	2160	16
142	2248	5
142	2716	1
142	2768	3
142	2872	12
142	2932	13
142	3408	4
142	3428	15
142	3447	14
142	9224	13
142	9924	14
142	10480	13
142	10572	14
142	12356	13
142	13056	4
142	13091	3
142	13196	2
142	13328	25
142	13356	10
142	14796	11
142	14840	2
142	15128	3
142	15228	4
142	15272	5
142	15291	4
142	15332	5
142	15624	4
142	15808	5
142	17756	16
142	24320	5
142	25528	1
142	28036	5
142	29860	16
142	29932	15
142	30168	14
142	31900	13
142	32256	4
142	32552	5
142	33496	1
142	33536	5
142	35416	1
142	35584	7
142	35828	20
142	36060	7
142	36140	8
142	36832	21
142	36852	8
142	36964	23
142	37912	22
142	38596	23
142	38944	8
142	39136	9
142	39260	1
142	39536	5
142	40804	1
142	41092	5
142	41376	6
142	41624	19
142	41684	18
142	42968	17
142	43788	16
142	43812	5
142	44372	16
142	44884	15
142	45064	14
142	46484	13
142	46640	12
142	46760	11
142	47084	10
142	47716	11
142	47816	2
142	47924	9
142	48100	8
142	48232	7
142	48356	20
142	48740	7
142	48744	6
142	48872	5
142	49096	1
142	49272	3
142	49344	4
142	49504	5
142	49664	4
142	49892	5
142	50692	6
142	51272	7
142	51412	8
142	51608	23
142	51772	24
142	51888	25
142	52076	2
142	52132	9
142	52684	1
142	52904	3
142	53032	12
142	53079	13
142	53136	12
142	53612	3
142	53644	4
142	53836	5
142	54748	4
142	54872	5
142	55652	6
142	55684	7
142	55820	8
142	55984	21
142	55988	22
142	56155	23
142	56276	8
142	56836	7
142	56852	1
142	56964	5
142	57136	4
142	57176	15
142	57255	14
142	57948	15
142	58040	16
142	58072	5
142	58155	16
142	58160	17
142	58308	18
142	59348	19
142	59404	6
142	59484	17
142	59900	18
142	60348	17
142	60452	16
142	60560	5
142	60708	4
142	60800	3
142	60912	12
142	60928	11
142	61067	10
142	61544	11
142	61584	2
142	61720	3
142	61824	1
142	61840	5
142	61964	4
142	62012	5
142	62252	16
142	62316	5
142	62464	6
142	62472	7
142	62608	8
142	63584	21
142	63660	20
142	63867	19
142	64112	18
142	64308	19
142	64367	18
142	64500	19
142	64708	6
142	64720	17
142	64800	16
142	64855	5
142	64860	16
142	67692	5
142	67904	4
142	67976	15
142	68032	14
142	68416	15
142	68608	4
142	68632	5
142	68712	4
142	68764	3
142	68812	1
142	68948	8
142	69156	23
142	69256	8
142	69380	9
142	69396	1
142	69468	5
142	69584	6
142	69624	17
142	69732	18
142	70128	17
142	70212	6
142	70248	5
142	70420	4
142	70552	5
142	71272	4
142	71360	15
142	71392	14
142	72480	13
142	72512	4
142	72632	5
142	72776	1
142	72792	3
142	72896	2
142	72928	11
142	72996	10
142	73356	25
142	73408	2
142	73436	9
142	73516	8
142	73768	7
142	73880	6
142	73908	5
142	74016	16
142	74036	17
142	74780	16
142	74800	5
142	75220	6
142	75484	5
142	75496	1
142	75656	5
142	75756	4
142	75804	5
142	75864	16
142	76576	5
142	76648	6
142	77264	5
142	78396	16
142	78740	5
142	78964	1
142	78996	3
142	79056	2
142	79152	25
142	79184	10
142	79500	25
142	79596	24
142	79660	23
142	79700	8
142	80704	23
142	80732	8
142	80740	23
142	80836	8
142	81024	7
142	81112	1
142	81116	5
142	81568	4
142	81652	3
142	81740	12
142	81940	11
142	82152	10
142	82728	25
142	82764	2
142	82800	9
142	82864	8
142	83084	7
142	83204	6
142	83224	19
142	83280	6
142	83316	19
142	83580	20
142	83692	21
142	84328	22
142	84516	21
142	84572	8
142	84636	7
142	84696	1
142	84720	5
142	84888	4
142	84896	15
142	85040	14
142	85164	13
142	88536	12
142	88632	13
142	89108	14
142	89496	15
142	89576	16
142	89588	5
142	89684	6
142	89716	7
142	89844	8
142	90048	7
142	90220	1
142	90240	5
142	90444	16
142	90544	15
142	90680	14
142	90832	13
142	91004	12
142	91028	3
142	91072	4
142	91156	5
142	100600	1
142	100680	5
142	101200	1
142	101240	5
142	101256	1
142	102704	5
142	102759	1
142	102964	5
142	103096	1
142	103248	5
142	103280	1
142	112404	5
142	112656	1
142	113400	5
142	113476	1
142	113711	5
142	113724	4
142	114200	5
142	114404	1
142	116548	5
142	118544	1
142	120844	9
142	120852	2
142	120968	11
142	121000	10
142	121296	11
142	121328	2
142	121396	3
142	121416	1
142	121496	5
142	121640	6
142	121859	17
142	122004	6
142	122128	5
142	122176	1
142	122356	5
142	122504	4
142	122524	15
142	122600	14
142	123883	13
142	123944	4
142	124024	5
142	124116	1
142	124196	7
142	124228	8
142	124635	7
142	124716	1
142	124744	5
142	125183	1
142	125464	5
142	125652	1
142	126076	3
142	126476	1
142	126511	5
142	126596	6
142	126620	7
142	126692	20
142	126740	21
142	126808	8
142	127368	22
142	127952	21
142	127988	8
142	128100	21
142	128156	20
142	128259	19
142	128340	18
142	129383	17
142	130028	16
142	130035	5
142	130096	4
142	130188	14
142	130540	15
142	130608	16
142	130672	5
142	130688	16
142	130711	17
142	131072	16
142	131116	5
142	131456	15
142	131532	14
142	132008	13
142	132096	12
142	132164	11
142	132244	10
142	132988	25
142	133088	2
142	133136	9
142	133204	8
142	133268	7
142	133332	1
142	133376	5
142	133468	4
142	133632	5
142	133724	1
142	133796	7
142	133884	8
142	133996	23
142	134040	8
142	134152	9
142	134160	1
142	134268	5
142	134556	6
142	135748	5
142	135852	4
142	135956	3
142	136012	12
142	136040	11
142	136152	10
142	136668	11
142	136772	2
142	136796	3
142	136852	1
142	136880	5
142	136940	4
142	136972	5
142	137236	1
142	137304	5
142	137656	4
142	137684	15
142	137760	14
142	138292	15
142	138420	5
142	139072	16
142	139452	5
142	139476	16
142	139508	5
142	139656	1
142	139744	7
142	139756	8
142	139936	23
142	139952	8
142	140064	9
142	140068	1
142	140168	5
142	140284	4
142	140352	3
142	140372	1
142	140396	5
142	140520	1
142	141264	5
142	141356	4
142	141484	3
142	141580	2
142	141612	11
142	141664	10
142	142032	11
142	142048	2
142	142120	9
142	142180	8
142	142312	21
142	142356	8
142	142496	9
142	142576	1
142	142676	5
142	142736	4
142	143072	15
142	144484	4
142	144812	5
142	145056	4
142	147652	15
142	151588	4
142	151728	15
142	162652	16
142	162672	15
142	163408	16
142	165012	15
142	165056	16
142	167712	15
142	167816	16
142	167852	15
142	167864	16
142	168916	15
142	172632	16
142	172768	5
142	173272	4
142	173288	15
142	173544	4
142	174096	15
142	174148	16
142	174832	5
142	175004	6
142	175052	5
142	175076	1
142	175160	5
142	175516	1
142	175824	7
142	175864	8
142	176024	23
142	176400	8
142	176576	9
142	176680	8
142	176932	21
142	176988	22
142	177488	21
142	177596	20
142	177632	7
142	177696	6
142	177884	7
142	178028	1
142	178116	5
142	178284	4
142	178304	15
142	178520	16
142	178920	5
