trial id	time	event
136	0	1
136	24	8
136	9776	7
136	9780	8
136	15380	7
136	15384	8
136	15432	7
136	15436	8
136	15440	7
136	15447	8
136	15556	7
136	15563	8
136	15896	7
136	15904	8
136	16176	7
136	16184	8
136	16588	7
136	16612	8
136	17048	7
136	17056	8
136	17124	7
136	17132	8
136	17164	7
136	17180	8
136	17444	7
136	17452	8
136	18252	7
136	18260	8
136	18884	7
136	18888	8
136	19496	7
136	19500	8
136	19944	7
136	19952	8
136	20244	7
136	20252	8
136	20476	7
136	20480	8
136	20924	7
136	20932	8
136	21024	7
136	21028	8
136	21040	7
136	21044	8
136	21520	7
136	21528	8
136	21744	7
136	21748	8
136	21872	7
136	21900	8
136	22660	7
136	22668	8
136	22972	7
136	22976	8
136	23004	7
136	23020	8
136	23564	7
136	23572	8
136	23772	7
136	23776	8
136	24616	7
136	24620	8
136	25548	7
136	25572	8
136	25580	7
136	25608	8
136	25824	7
136	25827	8
136	25932	7
136	25936	8
136	26124	7
136	26132	8
136	26968	7
136	26972	8
136	27264	7
136	27272	8
136	27283	7
136	27288	8
136	27427	7
136	27436	8
136	27636	7
136	27652	8
136	28004	7
136	28012	8
136	28092	7
136	28104	8
136	28195	7
136	28204	8
136	28612	7
136	28620	8
136	28632	7
136	28636	8
136	28724	7
136	28727	8
136	28864	7
136	28888	8
136	29024	7
136	29036	8
136	29172	7
136	29176	8
136	29183	7
136	29188	8
136	29292	7
136	29300	8
136	29360	7
136	29364	8
136	29483	7
136	29495	8
136	29568	7
136	29580	8
136	29720	7
136	29724	8
136	29756	7
136	29764	8
136	29948	7
136	29968	8
136	30520	7
136	30527	8
136	30872	7
136	30880	8
136	31024	7
136	31027	8
136	31068	7
136	31108	8
136	31232	7
136	31239	8
136	31244	7
136	31248	8
136	31360	7
136	31376	8
136	31512	7
136	31536	8
136	31616	7
136	31620	8
136	31644	7
136	31656	8
136	32392	7
136	32404	8
136	32724	7
136	32727	8
136	32752	7
136	32768	8
136	32864	7
136	32884	8
136	33012	7
136	33016	8
136	33572	7
136	33576	8
136	33640	7
136	33652	8
136	33752	7
136	33760	8
136	34148	7
136	34152	8
136	34352	7
136	34380	8
136	34392	7
136	34404	8
136	34488	7
136	34492	8
136	34496	7
136	34524	8
136	35396	7
136	35408	8
136	36252	7
136	36256	8
136	36336	7
136	36340	8
136	37556	7
136	37572	8
136	38464	7
136	38472	8
136	38720	7
136	38736	8
136	39260	7
136	39276	8
136	39392	7
136	39404	8
136	39408	7
136	39416	8
136	39512	7
136	39520	8
136	39800	7
136	39804	8
136	40200	7
136	40216	8
136	40244	7
136	40248	8
136	40292	7
136	40332	8
136	40464	7
136	40468	8
136	40504	7
136	40516	8
136	41024	7
136	41028	8
136	41404	7
136	41440	8
136	41476	7
136	41484	8
136	41544	7
136	41556	8
136	41640	7
136	41652	8
136	41688	7
136	41700	8
136	41968	7
136	41972	8
136	42444	7
136	42448	8
136	42508	7
136	42520	8
136	42640	7
136	42660	8
136	42664	7
136	42668	8
136	42676	7
136	42692	8
136	42768	7
136	42772	8
136	42976	7
136	42980	8
136	43028	7
136	43032	8
136	43052	7
136	43064	8
136	43120	7
136	43124	8
136	43168	7
136	43176	8
136	43400	7
136	43408	8
136	43412	7
136	43428	8
136	43536	7
136	43568	8
136	43860	7
136	43868	8
136	43972	7
136	43996	8
136	44036	7
136	44052	8
136	44100	7
136	44108	8
136	44212	7
136	44216	8
136	44228	7
136	44240	8
136	44336	7
136	44340	8
136	44448	7
136	44452	8
136	44920	7
136	44924	8
136	44936	7
136	44940	8
136	44944	7
136	44948	8
136	45064	7
136	45072	8
136	45084	7
136	45092	8
136	45496	7
136	45508	8
136	45612	7
136	45628	8
136	45764	7
136	45776	8
136	45864	7
136	45872	8
136	45936	7
136	45940	8
136	46264	7
136	46284	8
136	46988	7
136	46996	8
136	47060	7
136	47096	8
136	47244	7
136	47248	8
136	48052	7
136	48056	8
136	48192	7
136	48196	8
136	48228	7
136	48232	8
136	48324	7
136	48328	8
136	48440	9
136	48576	1
136	48944	5
136	53291	16
136	53544	5
136	53676	16
136	53796	15
136	53940	4
136	53967	15
136	54024	4
136	54072	15
136	54232	14
136	57767	13
136	59400	14
136	59736	13
136	60264	14
136	60632	13
136	60664	14
136	66400	13
136	69676	14
136	69680	13
136	69772	14
136	69952	13
136	69984	14
136	72836	13
136	74136	14
136	75932	15
136	75956	14
136	76544	13
136	76936	14
136	77376	13
136	77488	4
136	77956	15
136	78460	16
136	78536	5
136	80796	16
136	81448	5
136	82248	1
136	82620	7
136	82624	8
136	83300	23
136	84684	8
136	84812	23
136	85728	8
136	85768	23
136	85852	8
136	86340	21
136	87388	8
136	87600	23
136	87872	24
136	88352	25
136	88512	10
136	89180	11
136	90300	10
136	92508	25
136	93576	10
136	94468	11
136	94740	12
136	94940	13
136	99556	14
136	104048	13
136	104132	14
136	108159	13
136	108316	12
136	108592	11
136	108748	10
136	110835	25
136	111644	2
136	111724	11
136	112108	12
136	112796	3
136	112844	4
136	115335	5
136	115944	16
136	116316	5
136	117535	16
136	118228	17
136	119676	16
136	119920	17
136	120328	18
136	124452	17
136	124496	6
136	124664	5
136	125444	1
136	125528	7
136	125576	8
136	126304	23
136	126683	8
136	126996	23
136	127144	22
136	127504	21
136	128011	22
136	128559	21
136	128635	8
136	128788	23
136	128835	8
136	128900	23
136	129080	8
136	129400	23
136	129648	22
136	130104	21
136	130372	8
136	130456	21
136	130488	8
136	130611	23
136	130835	8
136	131148	21
136	131512	8
136	131744	9
136	131764	1
136	132004	5
136	134296	4
136	134432	15
136	135396	14
136	138124	13
136	139724	14
136	142456	15
136	142476	14
136	145836	13
136	146252	12
136	146408	11
136	146528	10
136	147856	25
136	148504	24
136	148936	23
136	149148	8
136	149484	23
136	149896	22
136	156340	21
136	156600	20
136	156604	21
136	156636	8
136	156644	9
136	156652	8
136	156660	22
136	156668	2
136	156672	22
136	156676	14
136	156680	23
136	156684	24
136	156688	14
136	156696	3
136	156704	1
136	156712	23
136	156716	12
136	156720	2
136	156724	23
136	156728	22
136	156732	2
136	156744	14
136	156752	23
136	156760	15
136	156772	24
136	156776	18
136	156784	19
136	156792	21
136	156796	8
136	156800	21
136	156804	22
136	156812	23
136	156816	8
136	156828	7
136	156832	8
136	156848	20
136	156856	8
136	156860	20
136	156928	21
136	157004	20
136	157012	19
136	157020	20
136	157028	6
136	157032	20
136	157044	21
136	157064	22
136	157108	21
136	157232	20
136	157240	21
136	157256	19
136	157260	20
136	157264	21
136	157300	7
136	157352	1
136	157384	18
136	157388	1
136	157396	7
136	157400	1
136	157448	6
136	157452	7
136	157472	1
136	157564	6
136	157568	7
136	158000	1
136	158008	5
136	158352	6
136	158724	7
136	159004	6
136	159032	19
136	159708	18
136	160456	17
136	160676	6
136	160680	5
136	162416	6
136	162928	7
136	164624	6
136	164712	5
136	165580	4
136	165864	13
136	165940	14
136	166480	13
136	166612	14
136	166644	13
136	166716	14
136	169368	15
136	169604	4
136	169880	5
136	170124	6
136	170184	5
136	170584	6
136	170608	7
136	171668	6
136	171952	7
136	172388	6
136	172576	7
136	174652	6
136	174688	5
136	176620	16
136	178636	5
136	179012	6
136	179644	7
136	179748	8
