trial id	time	event
139	0	1
139	20	5
139	21780	16
139	23484	5
139	23532	16
139	23556	5
139	23820	16
139	23836	5
139	23880	16
139	24584	5
139	27127	4
139	27148	15
139	27336	14
139	29508	15
139	29800	4
139	29839	5
139	32172	16
139	32400	15
139	33000	16
139	33416	5
139	33520	16
139	34316	5
139	36320	4
139	36516	13
139	36520	14
139	39500	15
139	39692	16
139	39724	5
139	40076	1
139	40948	5
139	41152	1
139	41164	3
139	41408	12
139	42288	13
139	42396	4
139	42436	13
139	42572	4
139	42744	5
139	43528	16
139	43672	17
139	43972	18
139	46048	17
139	46108	6
139	46244	5
139	48136	16
139	48472	17
139	48860	18
139	49972	17
139	50060	5
139	50148	16
139	50968	15
139	51096	14
139	52104	15
139	52120	4
139	52200	5
139	52255	1
139	52344	9
139	52352	8
139	52508	23
139	53012	8
139	53772	23
139	54036	22
139	54755	23
139	54844	8
139	54944	9
139	55064	1
139	55191	5
139	55760	6
139	56055	17
139	56304	6
139	56436	5
139	56588	4
139	56855	5
139	57132	16
139	57200	17
139	57488	16
139	57591	5
139	57824	1
139	57952	5
139	58767	4
139	58788	15
139	58828	4
139	58855	15
139	58904	14
139	59967	15
139	60052	16
139	60088	5
139	60364	6
139	60391	7
139	60488	8
139	60528	21
139	60567	8
139	60600	21
139	60855	8
139	61296	9
139	61340	1
139	61416	5
139	61564	15
139	61579	4
139	61660	5
139	61776	4
139	61920	13
139	62584	4
139	62655	5
139	63208	1
139	63244	7
139	63291	8
139	63416	23
139	63572	8
139	63972	9
139	64324	8
139	66860	9
139	66868	1
139	66960	5
139	67096	4
139	67184	5
139	67320	6
139	67340	7
139	67440	8
139	67632	21
139	68176	8
139	68468	9
139	68584	2
139	69116	9
139	70208	8
139	70756	9
139	70768	8
139	71512	9
139	71732	8
139	72148	9
139	72264	24
139	72516	9
139	72668	8
139	72828	23
139	72868	8
139	73384	23
139	73668	8
139	73952	23
139	74000	8
139	74104	23
139	74760	8
139	74804	23
139	75244	8
139	75504	23
139	75664	8
139	75708	23
139	76076	8
139	76160	9
139	76216	1
139	76300	5
139	76860	1
139	77424	5
139	77788	16
139	78028	5
139	78048	16
139	78156	5
139	78384	16
139	78692	5
139	79512	16
139	79772	5
139	79940	16
139	80000	5
139	80060	16
139	80120	17
139	80936	16
139	80964	5
139	81048	16
139	81256	17
139	81996	16
139	82012	5
139	82144	4
139	82176	15
139	82248	14
139	82728	15
139	82808	16
139	82824	5
139	82924	6
139	82976	17
139	83004	16
139	83028	17
139	83228	18
139	84680	17
139	84996	16
139	85100	15
139	85240	14
139	85900	15
139	86040	14
139	86068	15
139	86200	16
139	86232	5
139	86348	6
139	86632	17
139	86740	16
139	86780	5
139	86816	4
139	86848	15
139	86896	14
139	87376	15
139	87448	16
139	87480	5
139	87544	6
139	87620	19
139	87748	20
139	88020	8
139	88292	23
139	88344	8
139	88424	9
139	88452	1
139	88524	5
139	88624	16
139	89308	5
139	89760	1
139	89820	6
139	89896	5
139	89900	6
139	90100	19
139	90264	6
139	90444	5
139	90528	4
139	90616	13
139	90628	14
139	90880	13
139	90964	4
139	91048	5
139	91124	6
139	91212	19
139	91292	6
139	91508	17
139	91656	16
139	91676	5
139	91736	4
139	91812	13
139	91828	14
139	92120	15
139	92236	16
139	92252	5
139	92416	16
139	92816	5
139	93236	4
139	93360	5
139	93548	16
139	93624	17
139	93740	18
139	95072	19
139	95084	6
139	95152	5
139	95304	1
139	95332	5
139	95452	16
139	95536	17
139	95576	16
139	95600	17
139	95668	16
139	95804	5
139	95852	4
139	95892	15
139	95928	14
139	96184	15
139	96272	16
139	96300	5
139	96364	6
139	96420	5
139	96484	16
139	96516	15
139	96608	14
139	97464	15
139	97544	16
139	97572	5
139	97656	6
139	97744	5
139	97860	16
139	97884	15
139	97956	14
139	98292	15
139	98364	16
139	98388	5
139	98456	6
139	98460	17
139	98524	16
139	98740	17
139	98876	18
139	99348	17
139	99392	6
139	99428	5
139	99512	1
139	99624	7
139	99632	8
139	100232	9
139	100248	1
139	100320	5
139	100416	16
139	100440	5
139	100500	16
139	100504	5
139	100748	1
139	100760	7
139	100836	8
139	101280	23
139	101632	8
139	101764	9
139	101768	1
139	101840	5
139	102596	16
139	102632	15
139	102708	14
139	102944	15
139	103024	16
139	103044	5
139	103100	6
139	103159	17
139	103188	16
139	103496	5
139	103596	6
139	103611	7
139	103744	8
139	103964	9
139	104008	1
139	104072	5
139	104148	16
139	104264	17
139	104383	18
139	105264	19
139	105348	6
139	105408	5
139	105476	4
139	105552	15
139	105559	14
139	105859	15
139	105928	5
139	106164	1
139	106248	5
139	106388	16
139	106400	15
139	106500	14
139	106759	15
139	107004	14
139	107352	15
139	107464	4
139	107476	13
139	107508	4
139	107600	5
139	107704	6
139	107788	5
139	108432	6
139	108448	5
139	108480	6
139	108580	5
139	108792	16
139	108816	15
139	108904	14
139	109068	15
139	109735	16
139	109748	15
139	109756	8
139	109776	14
139	109796	2
139	109800	24
139	109804	2
139	109811	14
139	109820	8
139	109832	13
139	109835	8
139	109848	9
139	109859	15
139	109864	3
139	109868	9
139	109876	2
139	109880	3
139	109892	2
139	109896	3
139	109900	9
139	109904	21
139	109916	8
139	109924	21
139	109928	8
139	109935	3
139	109940	8
139	109983	5
139	109996	7
139	110011	8
139	110016	21
139	110020	7
139	110024	6
139	110032	16
139	110083	15
139	110135	18
139	110144	15
139	110304	16
139	110311	15
139	110320	16
139	110332	5
139	110335	15
139	110344	16
139	110348	5
139	110364	1
139	110380	5
139	110383	1
139	110396	16
139	110400	1
139	110408	15
139	110416	1
139	110511	7
139	110516	4
139	110528	1
139	110540	9
139	110544	14
139	110559	8
139	110580	14
139	110583	4
139	110588	3
139	110592	13
139	110596	14
139	110600	3
139	110604	13
139	110608	14
139	110616	1
139	110620	3
139	110628	9
139	110635	1
139	110696	5
139	110752	6
139	110756	5
139	111552	6
139	111564	7
139	111744	1
139	111980	5
139	112232	1
139	112664	5
139	114332	1
139	114428	5
139	114720	16
139	115100	17
139	115488	16
139	115611	17
139	115656	16
139	115688	5
139	116032	1
139	116224	5
139	116500	16
139	116644	17
139	116759	18
139	117204	17
139	117216	6
139	117296	5
139	117388	1
139	117440	5
139	117628	4
139	117716	13
139	117740	14
139	118264	15
139	118780	14
139	118868	15
139	118952	16
139	118992	5
139	119083	16
139	119283	17
139	119344	16
139	119564	5
139	119644	4
139	119740	13
139	119768	14
139	119980	13
139	120035	4
139	120111	5
139	120176	16
139	120248	17
