trial id	time	event
135	0	7
135	4	1
135	12	7
135	16	1
135	20	7
135	24	1
135	28	7
135	36	8
135	40	7
135	56	21
135	60	7
135	76	8
135	80	7
135	516	9
135	520	7
135	528	9
135	544	25
135	864	10
135	3008	11
135	3452	12
135	3700	3
135	3904	4
135	4316	5
135	4628	16
135	4752	5
135	5736	4
135	5800	15
135	5812	14
135	6320	13
135	6612	12
135	6820	11
135	6964	10
135	7300	11
135	7328	2
135	7400	9
135	7472	8
135	7688	7
135	7723	1
135	7792	5
135	8016	6
135	8080	19
135	8104	18
135	9264	17
135	9620	16
135	9852	15
135	10804	14
135	11388	13
135	11804	4
135	11924	5
135	12552	1
135	12620	7
135	12720	20
135	13028	19
135	13128	18
135	13619	19
135	13644	6
135	15096	5
135	15300	1
135	15444	9
135	15532	8
135	15736	23
135	15928	22
135	16244	21
135	16436	8
135	16492	23
135	16768	24
135	16896	25
135	16984	10
135	17316	11
135	17444	12
135	17568	13
135	17768	14
135	18076	13
135	18300	4
135	18436	5
135	18832	16
135	19096	15
135	19244	14
135	20188	13
135	20296	12
135	20460	11
135	20568	10
135	20904	25
135	21076	2
135	21116	9
135	21184	8
135	21616	7
135	22152	1
135	22240	5
135	22508	6
135	22532	17
135	22656	18
135	25008	19
135	25420	20
135	25556	21
135	25808	22
135	26164	8
135	26268	23
135	26364	24
135	26416	23
135	26808	24
135	26927	23
135	27220	22
135	27592	21
135	27636	8
135	27844	21
135	27927	20
135	28088	19
135	28183	18
135	29560	17
135	29672	16
135	29692	5
135	30383	4
135	30488	14
135	30712	13
135	30783	12
135	30880	3
135	30900	4
135	30972	5
135	31968	4
135	32048	15
135	32276	14
135	33120	13
135	33240	12
135	33388	11
135	33480	10
135	34192	25
135	34328	24
135	34764	23
135	35052	22
135	35556	21
135	36084	20
135	36160	21
135	36560	20
135	37296	21
135	37356	8
135	37420	7
135	37480	20
135	37520	19
135	37628	18
135	38556	17
135	38608	6
135	38632	5
135	39108	16
135	40376	15
135	41040	14
135	41216	15
135	41392	16
135	41428	5
135	41600	16
135	41928	5
135	42080	4
135	42248	15
135	42580	4
135	42740	13
135	43324	14
135	44384	13
135	44568	12
135	44652	11
135	44732	10
135	45060	25
135	45316	24
135	45436	23
135	45640	22
135	45900	21
135	45968	8
135	46176	7
135	46228	1
135	46416	3
135	46456	2
135	46540	11
135	46604	10
135	47312	25
135	47496	24
135	48096	25
135	48220	2
135	48288	9
135	48428	8
135	48580	21
135	48608	20
135	48752	19
135	48828	18
135	49220	17
135	49320	16
135	49428	15
135	49528	14
135	49728	15
135	49852	16
135	50028	17
135	50348	16
135	50760	17
135	50808	16
135	51144	15
135	51464	14
135	51472	13
135	51532	14
135	52404	15
135	52455	4
135	52536	13
135	52688	12
135	52896	11
135	52967	10
135	53516	25
135	53720	24
135	53996	9
135	54004	8
135	54164	21
135	54400	20
135	54455	7
135	54508	6
135	54548	5
135	54808	16
135	55200	5
135	56740	4
135	56896	5
135	57532	4
135	57564	15
135	57728	14
135	58404	13
135	58984	14
135	61220	13
135	61352	12
135	61384	3
135	61560	12
135	61591	11
135	61696	10
135	65032	25
135	65144	24
135	65232	23
135	65272	8
135	65504	21
135	65820	8
135	65920	21
135	66000	8
135	66388	21
135	66412	22
135	67948	23
135	68144	8
135	68236	9
135	68380	24
135	68388	25
135	68592	10
135	70480	11
135	70840	2
135	70880	3
135	71036	4
135	71060	5
135	71496	1
135	71596	7
135	71664	8
135	72064	7
135	72096	20
135	72152	19
135	72324	18
135	75984	17
135	76068	6
135	76108	5
135	80256	6
135	80264	17
135	81072	19
135	81456	18
135	81892	17
135	82004	6
135	82020	17
135	82036	6
135	82068	5
135	82312	6
135	82448	19
135	82456	20
135	83148	21
135	83300	22
135	83500	23
135	83904	22
135	84660	21
135	84792	8
135	85216	23
135	85304	24
135	85472	25
135	85556	10
135	86484	11
135	86572	12
135	86612	3
135	86692	4
135	86928	5
135	87136	4
135	87208	15
135	87352	14
135	90676	13
135	90732	14
135	93136	15
135	93156	4
135	93432	5
135	96076	6
135	96096	17
135	97620	18
135	112980	17
135	113088	6
135	113100	17
135	113152	6
135	113240	17
135	113376	6
135	113392	5
135	118580	6
135	118859	19
135	118916	18
135	122848	17
135	123024	6
135	123204	5
135	123520	6
135	123596	7
135	123768	6
135	123900	7
135	124096	8
135	124448	21
135	125588	22
135	127544	21
135	127583	8
135	127876	23
135	127992	24
135	128076	25
135	128168	10
135	130208	25
135	131035	24
135	131416	23
135	131748	22
135	134380	21
135	134536	8
135	134824	21
135	135704	8
135	135732	7
135	136504	6
135	136528	5
135	136724	6
135	136868	19
135	136876	18
135	144444	17
135	144592	5
135	149144	16
135	149212	5
135	149932	4
135	149972	15
135	150200	14
135	152392	13
135	152616	14
135	152672	13
135	154180	14
135	157104	15
135	157168	4
135	157180	15
135	159056	16
135	159308	5
135	159572	16
135	159664	5
135	159984	16
135	160076	17
135	160384	18
