trial id	time	event
130	0	7
130	4	1
130	8	7
130	12	1
130	16	5
130	40	16
130	64	5
130	32972	16
130	33032	17
130	33956	18
130	34812	17
130	34864	6
130	35060	5
130	35900	16
130	36004	15
130	36200	14
130	40072	15
130	40256	4
130	40332	5
130	41812	16
130	42380	5
130	44084	4
130	44276	15
130	44340	14
130	45912	15
130	45992	4
130	46124	5
130	46692	1
130	46792	7
130	46844	8
130	47984	21
130	48048	8
130	48416	23
130	48596	22
130	49844	23
130	49876	8
130	50164	9
130	50276	2
130	50404	11
130	50452	10
130	51776	25
130	51796	2
130	51924	3
130	51991	1
130	52044	5
130	54076	6
130	54132	17
130	54544	18
130	55236	19
130	55288	6
130	55364	7
130	56179	20
130	56396	7
130	56476	8
130	57152	21
130	57516	8
130	58904	7
130	58948	1
130	59228	5
130	60152	6
130	60232	17
130	60364	18
130	60408	19
130	60888	6
130	61000	5
130	61240	16
130	62648	15
130	62767	14
130	64172	13
130	64179	4
130	64332	5
130	72592	6
130	72820	19
130	73140	6
130	73724	5
130	73840	6
130	75352	5
130	75580	16
130	76144	17
130	76720	18
130	77432	17
130	77480	16
130	77500	5
130	141064	4
130	141076	3
130	141316	12
130	141340	11
130	141488	10
130	142984	11
130	143048	2
130	143172	9
130	143276	8
130	145880	7
130	145916	1
130	146064	5
130	149060	4
130	149200	15
130	149212	14
130	152752	15
130	152808	4
130	152960	5
130	154264	16
130	156344	5
130	157736	16
130	157792	5
130	159788	4
130	159828	3
130	159948	2
130	159992	11
130	160072	10
130	161736	11
130	161788	2
130	161908	3
130	162036	1
130	162060	5
