trial id	time	event
143	0	7
143	4	1
143	80	5
143	268	4
143	336	15
143	392	14
143	1536	13
143	2316	4
143	2372	3
143	2524	2
143	2588	11
143	2640	10
143	3536	11
143	3608	2
143	3732	3
143	3740	1
143	3876	5
143	4492	6
143	4740	17
143	4800	18
143	5424	17
143	5492	6
143	5512	5
143	7559	1
143	7723	7
143	7784	8
143	8048	23
143	8144	22
143	9072	21
143	9356	8
143	9420	7
143	9560	1
143	9596	5
143	9772	4
143	9828	15
143	10276	14
143	23232	15
143	23364	4
143	23476	5
143	23756	16
143	23840	17
143	24120	18
143	25148	17
143	25168	6
143	25268	5
143	25560	1
143	25708	7
143	25716	8
143	25880	23
143	26756	24
143	27560	25
143	27652	10
143	28736	11
143	28892	12
143	28988	13
143	29188	14
143	29656	13
143	29824	12
143	30192	13
143	30800	14
143	31908	15
143	31944	4
143	32016	5
143	32912	1
143	32956	7
143	33040	8
143	33148	21
143	33204	22
143	34880	23
143	34900	8
143	34940	23
143	34972	8
143	35100	23
143	35124	24
143	35228	25
143	35332	10
143	35612	11
143	35796	2
143	35808	3
143	35908	4
143	35916	5
143	36140	4
143	36208	15
143	36668	16
143	37204	17
143	37336	18
143	37752	19
143	38048	6
143	38132	17
143	38212	16
143	38308	5
143	38680	6
143	38776	19
143	39476	18
143	40612	17
143	40756	16
143	40872	15
143	40972	14
143	45352	13
143	45816	4
143	45960	5
143	46384	1
143	46484	9
143	46496	8
143	46752	23
143	46816	22
143	47808	23
143	47936	8
143	48528	21
143	48768	20
143	49152	19
143	49276	18
143	49696	17
143	49868	16
143	50012	5
143	50920	1
143	51028	9
143	51108	2
143	51116	25
143	51328	10
143	51920	11
143	51955	2
143	52048	9
143	52128	8
143	53355	21
143	53367	22
143	54712	23
143	54791	8
143	55516	21
143	57676	22
143	58152	21
143	58824	20
143	58976	19
143	59072	18
143	59476	17
143	59567	16
143	59644	15
143	59720	14
143	62016	13
143	62364	4
143	62500	5
143	62508	4
143	62660	3
143	62732	2
143	62808	25
143	63020	10
143	64364	11
143	64528	12
143	64636	13
143	64779	14
143	65467	13
143	65628	12
143	65764	11
143	65856	10
143	67088	25
143	67456	10
143	68468	11
143	68744	10
143	68764	25
143	68904	24
143	68980	23
143	69012	8
143	69048	23
143	69120	22
143	70488	23
143	70596	8
143	70620	21
143	71004	22
143	72200	21
143	72340	20
143	72516	7
143	72676	8
143	73092	21
143	73144	22
143	73776	21
143	75172	8
143	75244	7
143	75328	6
143	75336	5
143	75448	16
143	76188	15
143	76284	14
143	78980	13
143	79184	12
143	79276	11
143	79368	10
143	82488	11
143	82504	2
143	82592	9
143	82676	8
143	83112	23
143	83220	22
143	85692	21
143	85720	8
143	85728	21
143	85788	8
143	85860	7
143	85932	6
143	86096	5
143	86440	4
143	86536	13
143	86624	14
143	117468	13
143	117620	14
143	117624	13
143	117892	14
143	118016	13
143	118056	14
143	118128	13
143	118164	14
143	122632	15
143	122711	4
143	122820	5
143	123076	16
143	123648	17
143	123900	18
143	128300	17
143	128383	6
143	128411	5
143	128711	6
143	128776	7
143	128872	8
143	128980	21
143	129324	22
143	133708	23
143	133908	8
143	133988	9
143	134080	2
143	134088	25
143	134168	10
143	135124	11
143	135400	10
143	135904	25
143	136032	24
143	136168	23
143	136304	22
143	137236	21
143	137720	20
143	137768	7
143	138860	6
143	138872	5
143	139460	4
143	139596	15
143	139624	14
143	172896	15
