trial id	time	event
134	0	9
134	4	7
134	8	8
134	12	1
134	16	8
134	20	1
134	100	5
134	244	4
134	360	15
134	364	14
134	748	13
134	768	4
134	824	3
134	860	12
134	952	11
134	1156	10
134	2272	11
134	2704	2
134	2776	9
134	2868	8
134	3136	23
134	3456	22
134	4236	23
134	4700	8
134	4728	23
134	4788	8
134	4852	21
134	5012	20
134	5176	19
134	5284	18
134	6156	17
134	6188	6
134	6252	5
134	6640	4
134	6784	13
134	6804	14
134	8056	15
134	8095	4
134	8176	3
134	8200	12
134	8244	11
134	8332	10
134	8964	25
134	9012	2
134	9068	9
134	9156	8
134	12752	23
134	13419	8
134	13524	21
134	13588	8
134	13904	7
134	14019	6
134	14147	17
134	14180	18
134	15788	19
134	15800	6
134	15908	5
134	16812	16
134	17172	17
134	17688	18
134	17788	19
134	18044	20
134	18112	7
134	18164	8
134	18412	23
134	18416	22
134	19164	23
134	19180	8
134	19220	23
134	19256	8
134	19580	9
134	19596	1
134	19680	5
134	20088	4
134	20144	15
134	20192	14
134	21384	13
134	21588	12
134	21696	11
134	21916	10
134	24592	25
134	25460	24
134	25588	23
134	25592	8
134	25708	23
134	25892	22
134	26964	21
134	27024	8
134	27080	21
134	27088	8
134	27120	21
134	27152	8
134	27539	7
134	27639	6
134	27748	17
134	27764	18
134	29900	17
134	29932	6
134	29995	5
134	32776	6
134	33164	5
134	33684	1
134	33972	3
134	34028	2
134	34108	11
134	34140	10
134	35172	25
134	35288	24
134	35300	9
134	35372	8
134	35864	7
134	35968	6
134	36240	17
134	37452	16
134	37480	5
134	38080	16
134	38156	15
134	40264	14
134	43156	15
134	43224	4
134	43292	5
134	43824	1
134	44176	7
134	44216	1
134	44352	7
134	44408	8
134	44888	21
134	44900	22
134	47416	23
134	47496	8
134	47504	23
134	48348	24
134	48464	25
134	48580	10
134	49092	11
134	49228	12
134	49520	13
134	49568	4
134	49656	5
134	50008	16
134	50724	17
134	50840	18
134	58784	19
134	58844	6
134	58952	5
134	59355	1
134	59412	7
134	59472	8
134	59655	21
134	59808	22
134	61784	23
134	62000	8
134	62436	9
134	62628	1
134	62724	5
134	64988	16
134	65020	15
134	66992	14
134	69144	13
134	69692	14
134	71016	13
134	71040	14
134	71048	13
134	71096	14
134	71788	15
134	71792	4
134	71984	5
134	72328	1
134	72548	3
134	72724	12
134	73608	3
134	73660	2
134	73704	9
134	73788	8
134	74172	21
134	74364	20
134	74520	19
134	74652	18
134	92792	17
134	92800	6
134	92872	5
134	93132	16
134	93284	17
134	93396	18
134	97092	19
134	97156	6
134	97260	7
134	97344	8
134	97448	21
134	97584	22
134	99388	23
134	99396	8
134	99624	9
134	99648	24
134	99724	25
134	99812	10
134	101028	11
134	101200	3
134	101316	5
134	103072	6
134	103228	19
134	104316	20
134	104492	21
134	104728	8
134	104764	23
134	104896	22
134	105048	21
134	105296	8
134	105708	23
134	105811	22
134	108432	23
134	108696	8
134	109083	7
134	109128	1
134	109200	5
134	109588	16
134	109616	17
134	115268	18
134	169188	19
134	169408	6
134	169564	17
134	170420	18
134	172736	19
134	172872	6
134	172996	5
134	175204	6
134	175256	7
134	175456	8
134	176444	21
134	176476	22
134	177472	23
134	177500	8
134	177824	7
134	177848	20
134	177924	19
134	178016	18
